name,agg_review,1,2,3,4,5,agg_rating
'utakoi',4.5,1.0,0.0,1.0,6.0,24.0,4.625
'katana maidens toji no miko',4.0,0.0,5.0,7.0,10.0,14.0,3.9166666666666665
'taboo tattoo',2.5,58.0,33.0,21.0,11.0,17.0,2.257142857142857
'space pirate mito',4.0,0.0,0.0,1.0,1.0,1.0,4.0
'mangirl',3.5,0.0,2.0,8.0,6.0,1.0,3.3529411764705883
'the journey home',3.5,2.0,0.0,0.0,0.0,3.0,3.4
'tamayura hitotose',4.5,0.0,0.0,0.0,1.0,2.0,4.666666666666667
'hakyu hoshin engi',3.0,8.0,7.0,3.0,3.0,9.0,2.933333333333333
'captain harlock',4.5,11.0,3.0,5.0,37.0,199.0,4.607843137254902
'nobunaga concerto',5.0,1.0,1.0,1.0,9.0,70.0,4.780487804878049
'leiji matsumotos ozma',4.0,9.0,10.0,28.0,64.0,91.0,4.079207920792079
'chiruran 12',3.5,0.0,0.0,1.0,1.0,0.0,3.5
'mr osomatsu',4.5,4.0,2.0,1.0,5.0,72.0,4.654761904761905
'idolish7',5.0,0.0,1.0,0.0,2.0,36.0,4.871794871794871
'hiiro no kakera',4.0,22.0,35.0,44.0,63.0,262.0,4.192488262910798
'clean freak aoyama kun',3.5,5.0,4.0,7.0,5.0,12.0,3.4545454545454546
'pripri chi chan',5.0,0.0,0.0,0.0,0.0,8.0,5.0
'the file of young kindaichi returns',4.0,1.0,2.0,7.0,8.0,10.0,3.857142857142857
'kids on the slope',5.0,1.0,3.0,5.0,31.0,421.0,4.882863340563992
'pretty cure',4.5,40.0,8.0,29.0,97.0,602.0,4.563144329896907
'fatestay night',4.5,10.0,8.0,18.0,35.0,217.0,4.53125
'izetta the last witch',4.0,3.0,6.0,22.0,27.0,46.0,4.028846153846154
'megalobox',5.0,2.0,2.0,6.0,15.0,205.0,4.821739130434783
'darling in the franxx',4.5,42.0,44.0,72.0,78.0,505.0,4.295546558704453
'mr tonegawa middle management blues',4.5,0.0,1.0,1.0,4.0,12.0,4.5
'natsume yujin cho 6',5.0,0.0,0.0,0.0,1.0,32.0,4.96969696969697
'break ups',4.0,3.0,2.0,5.0,17.0,22.0,4.081632653061225
'voices of a distant star',4.5,10.0,7.0,15.0,53.0,385.0,4.693617021276595
'white album',4.0,23.0,10.0,27.0,65.0,222.0,4.305475504322766
'ooya san wa shishunki',4.5,0.0,0.0,1.0,9.0,8.0,4.388888888888889
'bakuon',4.5,0.0,0.0,5.0,6.0,13.0,4.333333333333333
'akb0048',4.5,2.0,1.0,4.0,6.0,65.0,4.67948717948718
'lupin the third part 3',4.5,0.0,0.0,0.0,1.0,2.0,4.666666666666667
'ghastly prince enma burning up',5.0,0.0,0.0,0.0,0.0,4.0,5.0
'jojos bizarre adventure',5.0,9.0,5.0,11.0,41.0,611.0,4.8316100443131464
'fist of the north star the movie',3.5,2.0,0.0,0.0,0.0,4.0,3.6666666666666665
'the highschool life of a fudanshi',3.5,3.0,6.0,10.0,13.0,16.0,3.6875
'dna2',3.0,2.0,0.0,1.0,3.0,1.0,3.142857142857143
'fushigi yugi eikoden',3.0,1.0,1.0,1.0,0.0,2.0,3.2
