name,datetime,rating,review,summary
'yuruyuri',mar 31 2013,5,'i really liked yuruyuri  it had a storyline that got me hooked onto the series  its slice of life so you know its going to be funny  all the characters have there own characteristics with makes the show unique  i really  truly  recommend this to teenage girls or teen girls  i really was hoping for a season 3  but hey maybe they will','i loved the series'
'rwby',jul 29 2018,4,'i just have never liked art styles like this show is made but i got over it after the first episode i wasnt in love with the series but i was curious and i just kept wondering what they were going to come up with next i thought this was just some tween show and i wasnt really looking at the events that happened at first and then something big would come out in the story and i would think back','getting past the art'
'megalobox',apr 26 2018,5,'this is not a great work of art that will be legendary for decades like cowboy bebop as such i couldnt stand seeing it lose in average rating to these legends but to any other standard it is pretty much perfect so i couldnt justify giving it 4 stars a perfectly balanced mix of gritty realism and idealism beautiful art and animation interesting opponents a good balance of preparation and','i wanted to give it a 4 start rating but it was too good'
'cerberus',apr 6 2016,5,'so far for the first episode i got the chills now im anticipating the rest of the season also it has a good start to an actionadventure anime but you never know if it will turn into a completely different plot for what ive seen now all i can do is wait with anticipation','in my opinion i think this show could go far'
'citrus',feb 11 2018,5,'when i first went to watch the show i was expecting cheap gratuitous fan service bordering on soft core porn but this show is so much more than that  the art is beautiful the animation is well done and the entire show feels like it comes from the heart  the character development is exceptionally well done and puts many most other anime to shame  go into this show with the right expectations','subverts expectation'
'rwby',aug 18 2013,5,'monty oum and the rooster teeth crew do a fantastic job for having so few resources the biggest complaint is that the episodes are so short which is the sort of complaint any producer likes to hear the demanding of more  for full enjoyment expect as very low budget presentation while watching then be suprrised once in a while when the animators manage to kick ass even though i would','for the size of their staff'
'rwby',nov 29 2015,5,'rwby is such a fun show it really takes a different turn from what your regular anime is generally seen as with each season it seems to improve and i really like the increase episode times as the seasons continue i would recommend this to a lot of people because in my opinion you can see the hard work and dedication that this indie anime has in it  i started watching rwby when the white','a lot of fun and a new experience'
'yuruyuri',sep 10 2012,4,'and it was really fun totally on crack like ouran host club and not trying to hide it at all totally a plus in my book its a silly fan service ish show that will leave you feeling happy a great way to unwind when you dont want to think about anything to deeply','my first foray into anything shoujo ai'
'idolish7',oct 22 2018,5,'absolutely love this anime so glad they got picked up for a second season i cant wait for more songs and dance to come out so excited to watch what happens next these boys had blessed my heart and now i am an absolute fan i can not wait for the second season to premier','review on idolish7'
'megalobox',apr 18 2018,5,'stop what your doing and watch this anime now best in its class very well done hooked and looking forward to the ride this is a rarity indeed with all the crap thats out there right now dont let this one slip buy good camera work and very well produced','watch now wow just wow'
'ebiten',mar 23 2013,1,'the artistic style aside the story of this series leaves much to be desired two dimensional stereotypical characterization leads this show but where for me nowhere at all but to flush it from my mind and let it float away with the refuse','predictable and dull'
'wagnaria',jan 2 2015,5,'where do i start  first i am a fan of funny slice of life with romantic hints on the side stories this anime hit the spot  all the characters are well thought of   the voices were superb and the story that put them together awesome  it was interesting how they all came together and became part of the restaurant staff the story was ridiculously absurd yet with so much hints of reality','season 3 would make it better'
'magi',mar 10 2013,5,'if it were my ruling any anime fan would have to watch this amazing show its got almost every element of anime in here ecchi magic action everything is in here not only that but the story embedded in the beautiful animation is great  magi in my book will go on as one of the best ive ever seen and guess what it doesnt look like itll end anytime soon i excitedly wait every week','one of the best magi is a must watch'
'idolish7',apr 28 2018,5,'if you think this is just another idol group you would be wrong the seven actually have distinct personalities and goals throughout the show something i was worried might not occur  they also work really well together each bringing something unique to the group  at first glance it may seem like every other idol anime out there but it actually brings new things to the table','give us more please'
'rwby',jan 21 2014,5,'good first season that introduces the world and characters first season spends its time doing what any new show does exposition and character introduction that is not a bad thing though the the world is interesting and the characters very lovablelooking forward to the plot moving forward and this becoming what it is meant to be','a good start to a great thing'
'rwby',dec 9 2015,5,'very rare do i see a good animation for 13 especially made by an american company the animation may seem bad at first but you will quickly adapt to it and enjoy it my favorite is blake the plot line is really good will make you want for more not to mention season 2s opening is probably one of the best openings i have ever heard','one of a kind definitely good'
'megalobox',apr 27 2018,5,'just 4 episodes in and i can say this feels like it will become a classic the art and story feel like this anime was made with love and care it just reminds me of the anime i grew up with 90s its your standard underdog boxer story with a mecha twist and so far they do it well','old skool anime is back'
