name,similar
'utakoi','toradora'
'utakoi','fox spirit matchmaker'
'utakoi','my sweet tyrant'
'utakoi','ojisan and marshmallow'
'katana maidens toji no miko','shamanic princess'
'katana maidens toji no miko','sorcery in the big city'
'katana maidens toji no miko','lord of vermilion the crimson king'
'katana maidens toji no miko','a certain magical index'
'taboo tattoo','jojos bizarre adventure'
'taboo tattoo','eyeshield 21'
'taboo tattoo','reborn'
'taboo tattoo','inferno cop'
'space pirate mito','boruto naruto next generations'
'space pirate mito','one piece'
'space pirate mito','sword art online'
'space pirate mito','fairy tail'
'mangirl','boruto naruto next generations'
'mangirl','one piece'
'mangirl','sword art online'
'mangirl','fairy tail'
'the journey home','boruto naruto next generations'
'the journey home','one piece'
'the journey home','sword art online'
'the journey home','fairy tail'
'tamayura hitotose','boruto naruto next generations'
'tamayura hitotose','one piece'
'tamayura hitotose','sword art online'
'tamayura hitotose','fairy tail'
'hakyu hoshin engi','the rising of the shield hero'
'hakyu hoshin engi','that time i got reincarnated as a slime'
'hakyu hoshin engi','saiyuki reload blast'
'hakyu hoshin engi','chain chronicle   the light of haecceitas'
'captain harlock','galaxy express 999'
'captain harlock','schoolgirl strikers'
'captain harlock','symphogear'
'captain harlock','garakowa  restore the world'
'nobunaga concerto','medaka box'
'nobunaga concerto','utakoi'
'nobunaga concerto','otome yokai zakuro'
'nobunaga concerto','monthly girls nozaki kun'
'leiji matsumotos ozma','valerian and laureline'
'leiji matsumotos ozma','chaoschild'
'leiji matsumotos ozma','the irresponsible galaxy tylor'
'leiji matsumotos ozma','hackadoll the animation'
'chiruran 12','forest fairy five'
'chiruran 12','love rice'
'chiruran 12','cheating craft'
'chiruran 12','aooni the blue monster'
'mr osomatsu','nyanko days'
'mr osomatsu','ai mai mi surgical friends'
'mr osomatsu','hinako note'
'mr osomatsu','gabriel dropout'
'idolish7','the idolmster side m'
'idolish7','caligula'
'idolish7','starmyu season 2'
'idolish7','marginal 4 the animation'
'hiiro no kakera','citrus'
'hiiro no kakera','we rent tsukumogami'
'hiiro no kakera','twin angels break'
'hiiro no kakera','convenience store boy friends'
'clean freak aoyama kun','scorching ping pong girls'
'clean freak aoyama kun','pan de peace'
'clean freak aoyama kun','miss bernard said'
'clean freak aoyama kun','nyanko days'
'pripri chi chan','boruto naruto next generations'
'pripri chi chan','one piece'
'pripri chi chan','sword art online'
'pripri chi chan','fairy tail'
'the file of young kindaichi returns','tantei team kz jiken note'
'the file of young kindaichi returns','the perfect insider'
'the file of young kindaichi returns','beautiful bones  sakurakos investigation'
'the file of young kindaichi returns','un go'
'kids on the slope','boruto naruto next generations'
'kids on the slope','one piece'
'kids on the slope','sword art online'
'kids on the slope','fairy tail'
'pretty cure','cardcaptor sakura'
'pretty cure','fairy musketeers'
'pretty cure','akb0048'
'pretty cure','fatekaleid liner prisma illya'
'fatestay night','the reflection'
'fatestay night','hand shakers'
'fatestay night','hakata tonkotsu ramens'
'fatestay night','girly air force'
'izetta the last witch','world break aria of curse for a holy swordsman'
'izetta the last witch','ulysses jeanne darc and the alchemist knight'
'izetta the last witch','dies irae'
'izetta the last witch','thunderbolt fantasy'
'megalobox','boruto naruto next generations'
'megalobox','one piece'
'megalobox','sword art online'
'megalobox','fairy tail'
'darling in the franxx','infinite stratos'
'darling in the franxx','mobile suit gundam unicorn re0096'
'darling in the franxx','fafner exodus'
'darling in the franxx','mobile suit gundam seed'
'mr tonegawa middle management blues','sparrows hotel'
'mr tonegawa middle management blues','hakone chan'
'mr tonegawa middle management blues','moritasan wa mukuchi'
'mr tonegawa middle management blues','toradora'
'natsume yujin cho 6','boruto naruto next generations'
'natsume yujin cho 6','one piece'
'natsume yujin cho 6','sword art online'
'natsume yujin cho 6','fairy tail'
'break ups','my love  story'
'break ups','tsukigakirei'
'break ups','5 centimeters per second'
'break ups','glasslip'
'voices of a distant star','the place promised in our early days'
'voices of a distant star','boruto naruto next generations'
'voices of a distant star','one piece'
'voices of a distant star','sword art online'
'white album','mashiroiro symphony'
'white album','kono aozora ni yakusoku wo'
'white album','boruto naruto next generations'
'white album','one piece'
'ooya san wa shishunki','nyanko days'
'ooya san wa shishunki','ai mai mi surgical friends'
'ooya san wa shishunki','hinako note'
'ooya san wa shishunki','gabriel dropout'
'bakuon','boruto naruto next generations'
'bakuon','one piece'
'bakuon','sword art online'
'bakuon','fairy tail'
'akb0048','fatekaleid liner prisma illya'
'akb0048','yona of the dawn'
'akb0048','wish upon the pleiades'
'akb0048','pretty cure'
'lupin the third part 3','boruto naruto next generations'
'lupin the third part 3','one piece'
'lupin the third part 3','sword art online'
'lupin the third part 3','fairy tail'
'ghastly prince enma burning up','the comic artist and his assistants'
'ghastly prince enma burning up','bakemonogatari'
'ghastly prince enma burning up','nisemonogatari'
'ghastly prince enma burning up','wagamama high spec'
'jojos bizarre adventure','taboo tattoo'
'jojos bizarre adventure','eyeshield 21'
'jojos bizarre adventure','reborn'
'jojos bizarre adventure','inferno cop'
'fist of the north star the movie','boruto naruto next generations'
'fist of the north star the movie','one piece'
'fist of the north star the movie','sword art online'
'fist of the north star the movie','fairy tail'
'the highschool life of a fudanshi','kenka bancho otome  girl beats boys'
'the highschool life of a fudanshi','sanrio boys'
'the highschool life of a fudanshi','milpom'
'the highschool life of a fudanshi','cute high earth defense club love'
'dna2','boruto naruto next generations'
'dna2','one piece'
'dna2','sword art online'
'dna2','fairy tail'
'fushigi yugi eikoden','boruto naruto next generations'
'fushigi yugi eikoden','one piece'
'fushigi yugi eikoden','sword art online'
'fushigi yugi eikoden','fairy tail'
'the idolmster sidem wakeatte mini','chiruran 12'
'the idolmster sidem wakeatte mini','forest fairy five'
'the idolmster sidem wakeatte mini','cheating craft'
'the idolmster sidem wakeatte mini','aooni the blue monster'
'magical warfare','shamanic princess'
