name,tags
'utakoi','ADK'
'utakoi','romance'
'utakoi','shoujo'
'utakoi','utakoi'
'utakoi','historical'
'utakoi','chōyaku hyakunin isshu uta koi'
'utakoi','anime'
'utakoi','comedy'
'utakoi','poetry'
'utakoi','crunchyroll utakoi'
'katana maidens toji no miko','Genco'
'katana maidens toji no miko','action'
'katana maidens toji no miko','fantasy'
'katana maidens toji no miko','crunchyroll co-production'
'taboo tattoo','TV TOKYO'
'taboo tattoo','action'
'taboo tattoo','shounen'
'taboo tattoo','comedy'
'space pirate mito','Nozomi Entertainment'
'space pirate mito','english dub available'
'mangirl','Earth Star Entertainment'
'the journey home',"'TMS Entertainment Co., Ltd.'"
'the journey home','space bug'
'tamayura hitotose','Nozomi Entertainment'
'hakyu hoshin engi','NBC Universal'
'hakyu hoshin engi','hakyu hoshin engi'
'hakyu hoshin engi','hakyû hôshin engi'
'hakyu hoshin engi','winter_2018'
'hakyu hoshin engi','adventure'
'hakyu hoshin engi','fantasy'
'hakyu hoshin engi','houshin engi'
'hakyu hoshin engi','soul hunter'
'captain harlock','Toei Animation'
'captain harlock','anime'
'captain harlock','captain harlock'
'captain harlock','captain herlock'
'captain harlock','leiji matsumoto'
'captain harlock','space pirate'
'captain harlock','galaxy express 999'
'captain harlock','action'
'captain harlock','drama'
'captain harlock','science fiction'
'nobunaga concerto','Fuji Creative Corporation'
'nobunaga concerto','historical'
'nobunaga concerto','comedy'
'nobunaga concerto','romance'
'nobunaga concerto','shounen'
'leiji matsumotos ozma',"'Crunchyroll, Inc.'"
'leiji matsumotos ozma','ozma'
'leiji matsumotos ozma','leiji matsumoto'
'leiji matsumotos ozma','ozuma'
'leiji matsumotos ozma','gonzo'
'leiji matsumotos ozma','space opera'
'leiji matsumotos ozma','rie tanaka'
'leiji matsumotos ozma','sam coyne'
'leiji matsumotos ozma','anime'
'leiji matsumotos ozma','science fiction'
'chiruran 12','Top Marshal'
'chiruran 12','comedy'
'mr osomatsu','TV TOKYO'
'mr osomatsu','comedy'
'mr osomatsu','slice of life'
'idolish7','Bandai Visual'
'idolish7','shoujo'
'hiiro no kakera','Yomiuri Telecasting Corporation (YTV)'
'hiiro no kakera','hiiro no kakera'
'hiiro no kakera','anime'
'hiiro no kakera','visual novel'
'hiiro no kakera','idea factory'
'hiiro no kakera','scarlet fragment'
'hiiro no kakera','shuhei kita'
'hiiro no kakera','shoujo'
'hiiro no kakera','fantasy'
'hiiro no kakera','romance'
'clean freak aoyama kun','PONY CANYON INC.'
'clean freak aoyama kun','comedy'
'clean freak aoyama kun','slice of life'
'clean freak aoyama kun','sports'
'clean freak aoyama kun','keppeki danshi aoyama-kun'
'pripri chi chan','ShoPro'
'the file of young kindaichi returns','Yomiuri Telecasting Corporation (YTV)'
'the file of young kindaichi returns','mystery'
'kids on the slope','Fuji Creative Corporation'
'kids on the slope','anime'
'kids on the slope','kids on the slope'
'kids on the slope','sakamichi no aporon'
'kids on the slope','jazz music'
'kids on the slope','yoko kanno'
'kids on the slope','shinichiro watanabe'
'kids on the slope','apollo on the slope'
'kids on the slope','sakamichi no apollo'
'kids on the slope','cowboy bebop'
'pretty cure','Toei Animation'
'pretty cure','anime'
'pretty cure','pretty cure'
'pretty cure','precure'
'pretty cure','nagisa misumi'
'pretty cure','honoka yukishiro'
'pretty cure','hikari kujou'
'pretty cure','izumi todo'
'pretty cure','magical girl'
'pretty cure','shoujo'
'fatestay night','Aniplex of America'
'fatestay night','action'
'izetta the last witch','Shochiku'
'izetta the last witch','action'
'izetta the last witch','historical'
'izetta the last witch','fantasy'
'izetta the last witch','romance'
'izetta the last witch','shuumatsu no izetta'
'megalobox',"'TMS Entertainment Co., Ltd.'"
'darling in the franxx','ABC Asahi'
'darling in the franxx','mecha'
'darling in the franxx','sci-fi'
'darling in the franxx','romance'
'darling in the franxx','action'
'mr tonegawa middle management blues','ntv'
'mr tonegawa middle management blues','comedy'
'mr tonegawa middle management blues','seinen'
'mr tonegawa middle management blues','chuukan kanriroku tonegawa'
'natsume yujin cho 6','ADK'
'break ups','eigoMANGA'
'break ups','anime'
'break ups','break ups'
'break ups','eigomanga'
'break ups','oav'
'break ups','romance'
'break ups','drama'
'break ups','slice of life'
'voices of a distant star','CoMixWave Films'
'voices of a distant star','drama'
'voices of a distant star','mecha'
'voices of a distant star','romance'
'voices of a distant star','science fiction'
'voices of a distant star','military'
'voices of a distant star','real robot'
'voices of a distant star','space'
'white album','King Record Company Limited '
'white album','anime'
'white album','white album'
'white album','drama'
'white album','harem'
'white album','music'
'white album','romance'
'white album','seinen'
'white album','mizuki nana'
'white album','aya hirano'
'ooya san wa shishunki','DAX'
'ooya san wa shishunki','comedy'
'ooya san wa shishunki','slice of life'
'ooya san wa shishunki','crunchyroll co-production'
'bakuon','NBC Universal'
'akb0048','King Record Company Limited '
'akb0048','shoujo'
'akb0048','fantasy'
'akb0048','action'
'akb0048','adventure'
'lupin the third part 3',"'TMS Entertainment Co., Ltd.'"
'ghastly prince enma burning up','NIS America'
'ghastly prince enma burning up','anime'
'ghastly prince enma burning up','ghastly prince enma'
